id,university, major, degree, decision, status, year, gpafin, grev, grem, grew, new_gre
291,ีืUniversity Of Central Florida,CS,PhD,Accepted,A,2018,3.27,159,160,4,TRUE
292,‌Boston University,CS,Masters,Accepted,I,2018,9.99,153,168,3.5,TRUE
293,Northeastern University,CS,PhD,Accepted,I,2018,3.46,160,162,4.5,TRUE
297,(Arizona State University) ASU Tempe,CS,Masters,Accepted,U,2018,3.98,149,161,4,TRUE
298,ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,CS,Masters,Accepted,I,2018,3.72,155,161,4.5,TRUE
299,ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,CS,Masters,Accepted,I,2018,3.72,155,161,4.5,TRUE
301,‌Boston University (BU),CS,PhD,Rejected,I,2018,3.03,148,163,3,TRUE
302,Cornell  University,CS,Masters,Rejected,I,2018,3.5,150,169,3,TRUE
303,Duke University,CS,Masters,Rejected,I,2018,3.5,150,169,3,TRUE
307,Carnegie  Mellon University (CMU),Other,Masters,Rejected,I,2018,3.67,154,168,4,TRUE
311,UC Riverside (UCR),CS,PhD,Accepted,A,2018,3.71,151,162,4,TRUE
314,Northeastern University (NEU),CS,PhD,Rejected,A,2018,3.6,159,163,4,TRUE
319,"University Of California, Irvine (UCI)",CS,Masters,Accepted,A,2018,3.3,161,164,4,TRUE
321,Columbia University (FFSEAS),CS,Masters,Rejected,I,2018,3.94,158,167,,TRUE
323,Columbia Uniersity,CS,Masters,Rejected,I,2018,3.8,159,165,3.5,TRUE
324,Northeastern University (NEU),CS,PhD,Rejected,I,2018,3.74,149,166,3.5,TRUE
325,"(University Of California, Los Angeles UCLA)",CS,Masters,Accepted,I,2018,3.8,168,170,5.5,TRUE
326,"(University Of California, Los Angeles UCLA)",CS,Masters,Accepted,I,2018,3.94,161,170,4.5,TRUE
329,University Of California Los Angeles (UCLA),CS,Masters,Accepted,I,2018,3.7,165,167,5,TRUE
331,University Of Washington Bothell,CS,Masters,Accepted,U,2018,3.6,160,170,3.5,TRUE
332,"UCSD (University Of California, San Diego)",CS,Masters,Rejected,U,2018,3.6,160,170,3.5,TRUE
336,"University Of Michigan, Ann Arbor (Umich)",CS,Masters,Rejected,I,2018,3.4,155,166,3.5,TRUE
338,"University Of Michigan, Ann Arbor",CS,Masters,Rejected,I,2018,3.6,158,170,5,TRUE
342,UCLA,CS,Masters,Accepted,A,2018,3.6,164,169,4.5,TRUE
348,Georgia  Institute Of Technology (Gatech Georgia Tech),CS,Masters,Accepted,I,2018,4,161,161,4.5,TRUE
349,UCLA,CS,Masters,Accepted,A,2018,3.84,169,159,5.5,TRUE
351,"University Of Michigan, Ann Arbor",CS,Masters,Rejected,A,2018,3.54,160,170,4.5,TRUE
352,"(University Of California, Los Angeles (UCLA)",CS,Masters,Accepted,I,2018,3.96,159,168,,TRUE
353,"(University Of California, Los Angeles (UCLA)",CS,Masters,Accepted,I,2018,3.94,159,168,4.5,TRUE
355,"University Of Michigan, Ann Arbor",CS,PhD,Rejected,A,2018,3.69,170,165,4.5,TRUE
359,The University Of Michigan Ann Arbor,CS,PhD,Rejected,A,2018,3.92,160,169,4.5,TRUE
360,"University Of Michigan, Ann Arbor",CS,PhD,Rejected,A,2018,3.26,163,164,6,TRUE
362,"University Of Michigan, Ann Arbor",CS,Masters,Rejected,A,2018,3.76,154,167,4,TRUE
366,"(University Of California, Los Angeles (UCLA)",CS,Masters,Accepted,A,2018,3.22,163,166,4.5,TRUE
372,Cornell (Ithaca),CS,Masters,Rejected,I,2018,3.03,161,162,4,TRUE
373,Cornell  University,CS,Masters,Rejected,I,2018,3.46,154,170,3.5,TRUE
379,Virginia Polytechnic And State University (Virginia Tech),CS,Masters,Rejected,I,2018,3.25,153,168,3.5,TRUE
381,KTH Royal Iinstitute Of Technology,CS,Masters,Accepted,I,2018,8.1,155,170,3.5,TRUE
384,"KTH Royal Institute Of Technology, Sweden",CS,Masters,Accepted,I,2018,8.65,147,163,,TRUE
386,Georgia Institute Of Technology (Gatech Georgia Tech),CS,Masters,Accepted,A,2018,3.61,160,160,4,TRUE
